on x=4..48,y=-44..10,z=-45..4
on x=-41..3,y=-28..23,z=-4..44
on x=-11..36,y=-3..47,z=-6..41
on x=-38..14,y=-23..22,z=-33..18
on x=-37..13,y=-43..5,z=-20..26
on x=-44..4,y=-8..43,z=2..46
on x=-41..6,y=-39..5,z=-25..20
on x=-8..42,y=-19..26,z=-45..9
on x=-21..31,y=-23..31,z=-47..6
on x=-33..20,y=-49..0,z=-23..28
off x=29..47,y=26..44,z=21..36
on x=0..49,y=-43..9,z=-21..28
off x=34..48,y=36..45,z=-13..0
on x=-4..42,y=-4..42,z=-45..1
off x=5..23,y=18..33,z=12..28
on x=-9..37,y=-7..37,z=-38..14
off x=18..30,y=13..28,z=1..19
on x=-43..10,y=-27..25,z=-36..16
off x=20..30,y=-46..-37,z=13..23
on x=-46..4,y=-2..47,z=-20..32
on x=60835..73186,y=-51099..-20854,z=15096..33276
on x=-90516..-62783,y=-22014..2681,z=15971..34116
on x=32437..61116,y=55016..75955,z=-43220..-26114
on x=61663..78278,y=13402..23778,z=-58447..-27162
on x=-7203..27545,y=-63387..-39739,z=-84207..-58574
on x=60371..78784,y=-4929..24530,z=16635..35902
on x=2151..23649,y=-79023..-56347,z=23140..49303
on x=-15379..5313,y=9596..40708,z=55408..82133
on x=9762..44997,y=60848..63268,z=-56536..-39485
on x=-82016..-68432,y=5162..42218,z=-26489..-8810
on x=-9770..-5676,y=63112..84114,z=14156..35232
on x=-83053..-55898,y=-7298..7705,z=18872..56768
on x=21339..41341,y=12447..31347,z=55876..85179
on x=12940..21742,y=42024..62323,z=-62706..-43355
on x=7410..39215,y=-95457..-57028,z=-3529..14086
on x=-82573..-58796,y=11856..34753,z=25171..40965
on x=-55871..-31209,y=48584..56098,z=-52293..-28340
on x=1202..19255,y=4722..25599,z=71711..88378
on x=28465..47977,y=47963..70276,z=44808..50421
on x=-38182..-13536,y=16903..33739,z=-85612..-56731
on x=-58667..-26294,y=-79595..-56187,z=-189..21687
on x=27499..60232,y=-15440..5130,z=59339..70852
on x=49935..73736,y=-24802..-5748,z=28002..51493
on x=-63225..-40689,y=48124..60705,z=20004..34629
on x=-32620..-14556,y=16384..25285,z=-91210..-58108
on x=-13662..8481,y=4897..36713,z=56741..84383
on x=53694..78052,y=-45113..-19762,z=10232..48182
on x=64119..76755,y=20089..43753,z=19296..47109
on x=-88607..-69380,y=-30630..-7540,z=7737..28442
on x=-29273..5910,y=62070..91625,z=-32915..-20106
on x=-63284..-42785,y=-24688..9271,z=38367..65261
on x=1528..9579,y=-31225..-15385,z=56628..86970
on x=58311..92621,y=23712..42898,z=-12142..6017
on x=-48321..-23160,y=22699..45532,z=-77835..-49154
on x=-31363..-26330,y=-30082..5068,z=-74791..-67962
on x=-69064..-41915,y=-56798..-45525,z=-49815..-11356
on x=-39788..-12510,y=-82237..-56926,z=10396..32418
on x=8861..23482,y=58132..85515,z=-18587..13431
on x=54132..68601,y=-46275..-12721,z=38760..63426
on x=49664..62630,y=15647..39670,z=32401..62818
on x=33736..72117,y=44956..77168,z=-19589..-1417
on x=-83330..-60266,y=-21232..-2479,z=40518..63744
on x=-58458..-41716,y=-75352..-54666,z=26486..40905
on x=51338..74335,y=-72555..-46696,z=-6552..5995
on x=-55612..-32633,y=-63525..-57687,z=10466..32669
on x=-16805..-512,y=14779..20098,z=77824..82907
on x=-187..34308,y=-40503..-17920,z=-73303..-56995
on x=-5638..7072,y=-1912..175,z=-82007..-77035
on x=50282..85667,y=-52041..-27298,z=-14510..39
on x=555..37119,y=-56047..-33889,z=49135..79381
on x=57876..64249,y=9269..32776,z=34819..56768
on x=58399..87151,y=-34472..3222,z=5629..12240
on x=-75592..-54229,y=-57308..-32371,z=-885..28191
on x=-18928..-2887,y=-1111..4869,z=-99388..-60379
on x=-74467..-51287,y=-61337..-36868,z=-43992..-21241
on x=-63481..-27788,y=-76392..-40595,z=-35614..-16472
on x=40203..55533,y=-48322..-20543,z=49609..66612
on x=22431..52206,y=20856..49600,z=50769..75428
on x=53602..77039,y=4364..21980,z=-26779..-23973
on x=50554..63701,y=-50154..-46418,z=7688..18144
on x=35216..61059,y=-61010..-45902,z=-31915..-8430
on x=30990..63968,y=-62139..-47822,z=-49640..-20751
on x=5872..28880,y=-36616..-20786,z=-77949..-62367
on x=58617..83360,y=-56669..-25514,z=-15084..1578
on x=-7917..19331,y=-38974..-10249,z=-93808..-73674
on x=-36015..-18100,y=-1910..30814,z=70164..77253
on x=-72211..-49171,y=30136..48243,z=-40074..-33976
on x=-60065..-39911,y=-32108..-12300,z=54895..79287
on x=-33572..-15818,y=59008..95505,z=-4201..26094
on x=19947..53161,y=48551..66292,z=28364..49575
on x=-79473..-65327,y=-34675..-4541,z=-17253..-1835
on x=61635..88533,y=-1393..19404,z=-26987..4451
on x=-52601..-28147,y=-33544..-10722,z=49146..78809
on x=59666..65526,y=7986..30264,z=44731..68629
on x=52264..69389,y=37807..58455,z=-43991..-32762
on x=20955..56341,y=-73986..-48987,z=21543..28657
on x=-8671..6881,y=57248..82076,z=49296..69551
on x=-5135..17503,y=-9335..7170,z=74682..84677
on x=26539..47446,y=-58750..-46145,z=53149..74272
on x=11381..46321,y=45328..67962,z=33794..44833
on x=-14211..4060,y=46036..80743,z=42654..61674
on x=-47778..-31535,y=39379..64139,z=-49433..-31399
on x=59211..75959,y=-630..29887,z=-51603..-40235
on x=21675..43339,y=52319..65852,z=20891..53427
on x=-40053..-35405,y=-61562..-34657,z=40884..61693
on x=3257..33496,y=61187..85311,z=-38192..-16710
on x=15443..24692,y=-48099..-44606,z=56527..65214
on x=26251..44234,y=-35085..-27152,z=52157..60516
on x=-30170..-7365,y=54037..84578,z=-35102..-19823
on x=-86696..-58695,y=10805..33353,z=-16616..-8352
on x=63831..87945,y=6621..28600,z=27828..55060
on x=39842..44174,y=50368..68154,z=19535..38291
on x=-29465..-12948,y=53320..81486,z=19329..37286
on x=-4564..17219,y=-52721..-34660,z=-77236..-67462
on x=65087..78228,y=-45988..-33118,z=-30718..-11072
on x=20903..42619,y=5873..24545,z=54214..79235
on x=-24821..-15165,y=-80257..-61078,z=27299..43240
on x=-20023..4360,y=-36657..-18515,z=-85225..-65593
on x=28839..43494,y=51246..78277,z=-58569..-27228
on x=-73669..-66349,y=35350..57001,z=-12503..-8203
on x=-65258..-46527,y=-27933..1033,z=37054..64315
on x=20126..42562,y=69014..88764,z=15230..36367
on x=70388..82554,y=-40763..-15967,z=-18714..1939
on x=-29977..-10088,y=-42308..-26095,z=64849..68866
on x=-51627..-19831,y=51548..75538,z=-31505..-16333
on x=-77951..-46955,y=-35793..-26067,z=42894..46869
on x=-8289..20279,y=69634..84807,z=20812..42326
on x=66333..85391,y=-33554..-30303,z=2933..19330
on x=56382..70342,y=-20514..10814,z=-48719..-33107
on x=2834..13379,y=75435..80904,z=-406..9617
on x=21125..39200,y=51389..82714,z=-28353..-16548
on x=-94216..-79666,y=-1162..17392,z=289..11727
on x=25058..44136,y=34421..59252,z=43525..63614
on x=-27518..-22911,y=-90808..-74345,z=-21224..-12030
on x=-42005..-8514,y=-32029..-10077,z=-74901..-70082
on x=-58135..-50002,y=55190..62697,z=-28403..-19505
on x=-19512..-9896,y=-67577..-51832,z=41077..53109
on x=48434..68799,y=25169..51350,z=-47485..-24200
on x=4120..36124,y=-85971..-49306,z=-41209..-35595
on x=-21814..5022,y=42713..71330,z=-65183..-35079
on x=33632..55149,y=17457..46822,z=-71736..-54449
on x=-76287..-65789,y=31217..45468,z=6957..27127
on x=5586..21623,y=24560..53301,z=-81523..-50254
on x=11567..20183,y=-68030..-38381,z=41983..71056
on x=-54389..-37045,y=-23920..3502,z=58649..68194
on x=34163..50089,y=43190..62084,z=-44470..-28275
on x=-81593..-50075,y=-14979..-3394,z=45887..61817
on x=32558..50667,y=-35014..-22732,z=-76705..-54828
on x=30944..55649,y=-3388..31546,z=-62149..-53109
on x=-32635..-974,y=57055..77777,z=-18345..-9721
on x=-19148..4435,y=-53241..-41569,z=43074..61642
on x=-68837..-52527,y=-54717..-46535,z=-45363..-9242
on x=-66803..-44131,y=-80890..-47222,z=-3955..12323
on x=-13059..609,y=72630..78732,z=18471..35230
on x=-62378..-35048,y=-4345..12636,z=-78723..-41810
on x=49301..69347,y=31026..36812,z=-61676..-41853
on x=46239..60216,y=-20974..-696,z=41770..61392
on x=74988..81836,y=-42307..-11308,z=-1964..30781
on x=-52831..-35841,y=29838..50263,z=-72934..-48323
on x=3681..18057,y=-79944..-53136,z=27259..35521
on x=-66964..-42663,y=22163..52213,z=-53212..-36189
on x=-83809..-47894,y=16011..42572,z=18024..39361
on x=-40282..-29731,y=-17295..21579,z=-86459..-54504
on x=48893..64872,y=38417..52574,z=-37382..-25980
on x=-69692..-60954,y=39755..46667,z=-28153..-16056
on x=-28880..-10995,y=71734..94832,z=-2361..25984
on x=-46985..-15187,y=70064..78319,z=-12610..-80
on x=24283..53071,y=58428..67306,z=14453..34421
on x=-96063..-72408,y=-495..16687,z=-17372..6980
on x=-30851..-16257,y=56654..72961,z=31089..50736
on x=-24070..-14668,y=67304..79775,z=2389..14543
on x=56513..67794,y=-54200..-35096,z=-3787..26846
on x=-9416..17713,y=29175..60120,z=67357..81417
on x=13752..23055,y=-93939..-60962,z=-10099..17785
on x=45017..75963,y=590..30771,z=47801..71503
on x=-40633..-25984,y=64169..82991,z=2094..12822
on x=33894..58265,y=55012..82293,z=-15068..5207
on x=-36034..-32610,y=58363..76409,z=23385..33193
on x=-40558..-23989,y=72913..88300,z=-16226..9017
on x=-26533..-12328,y=58430..95092,z=-21505..-116
on x=-65817..-44975,y=-24580..763,z=53685..68196
on x=20936..56294,y=63263..83904,z=7828..39061
on x=-78635..-52470,y=20905..54121,z=11457..33833
on x=-31285..-20124,y=45212..61511,z=37614..59108
on x=18502..40345,y=-24843..-3490,z=51589..78837
on x=44832..66764,y=-37334..-14962,z=33170..56493
on x=-83057..-76951,y=-36457..-3472,z=-9972..25078
on x=-34241..-7569,y=-87897..-62323,z=-34250..-25090
on x=62121..81021,y=-14787..-4125,z=16386..26387
on x=-2765..16700,y=57652..82448,z=19074..44764
on x=-46987..-36685,y=46792..61546,z=28810..57702
on x=55518..83446,y=16731..35055,z=34128..57271
on x=-80810..-58185,y=13322..28564,z=-21854..8081
on x=32283..61111,y=32767..50716,z=-51005..-30277
on x=-55084..-35082,y=-76528..-64236,z=-34372..-4542
on x=36600..61712,y=-65169..-40631,z=-36750..-12694
on x=32895..35664,y=-4273..12843,z=-89420..-68506
on x=71100..92216,y=-10390..-1345,z=12148..28098
on x=-79894..-60882,y=16186..47889,z=831..24847
on x=-81811..-60988,y=-35646..-3119,z=-49235..-35613
on x=-52224..-18260,y=57829..74464,z=-4946..21374
on x=30872..55612,y=8739..20578,z=-75733..-59655
on x=-73902..-48026,y=-14917..-9451,z=-62619..-41481
on x=2152..13100,y=-22702..-1904,z=-87446..-73597
on x=28139..58369,y=-8268..8326,z=64575..82773
on x=45082..60299,y=18330..54784,z=-63038..-38821
on x=37126..40498,y=16698..37263,z=56572..79015
on x=7713..24819,y=-67857..-47588,z=27143..52661
on x=8399..31900,y=-95815..-64121,z=-1134..8030
on x=9165..34746,y=51733..71711,z=-35238..-22844
on x=-35255..-11806,y=-75977..-71182,z=-40155..-7408
on x=-13155..-1814,y=24957..32732,z=-86363..-60667
on x=-78803..-47904,y=-64683..-40849,z=-85..19170
on x=-58849..-39154,y=52361..68595,z=-18722..1953
on x=23768..54659,y=-54893..-49316,z=26131..62976
on x=-52089..-20504,y=-4273..4735,z=-87038..-62851
on x=43353..71574,y=49659..71621,z=-20967..-3847
on x=-80015..-54035,y=10893..38696,z=12831..39483
on x=-94027..-72391,y=4629..31086,z=-4535..15388
on x=-66837..-56566,y=20392..53159,z=-37753..-18075
off x=-49441..-39746,y=-55256..-46711,z=-55653..-40977
on x=35237..48951,y=13214..41053,z=-68984..-43398
on x=-3823..14468,y=72433..84497,z=22476..40602
off x=-61525..-40710,y=-45149..-21675,z=56408..76559
on x=-22998..13592,y=54719..82854,z=-57840..-25482
off x=22335..44880,y=-18975..10974,z=-84170..-61280
off x=10692..32345,y=-42853..-13970,z=-72971..-57189
on x=-17856..12135,y=-46544..-20507,z=-90612..-69259
on x=-1376..26277,y=73713..90253,z=8401..35734
off x=-40041..-16084,y=-80576..-57176,z=-21081..7685
on x=-55180..-35741,y=-64015..-43758,z=-54741..-38944
on x=-4927..8192,y=68718..94200,z=-18031..-8243
off x=-28123..-19562,y=-81850..-64173,z=-22367..11456
off x=52415..83558,y=-54643..-27615,z=-34569..-7526
off x=-64969..-42817,y=48831..65076,z=24862..46711
off x=-47038..-20196,y=61669..80279,z=24557..37576
off x=19573..29018,y=69713..85754,z=-16519..18124
on x=-24427..-14600,y=56205..78659,z=9031..33521
on x=-4298..9954,y=-81578..-50149,z=22848..49948
on x=31492..61096,y=-65934..-33187,z=24071..39074
on x=5335..13199,y=75241..94850,z=17014..28915
off x=40639..62322,y=44416..50577,z=-36730..-19968
off x=9165..28764,y=-84835..-47728,z=-38187..-34103
off x=-58724..-31435,y=-42662..-22106,z=-63199..-55199
off x=37039..50903,y=-26573..-11837,z=-68143..-56769
on x=-29011..-5964,y=-82622..-74338,z=-15874..2161
off x=-31316..-16599,y=14358..37299,z=-87670..-59803
on x=59747..74786,y=-32964..-16894,z=-29512..-23051
off x=16398..53660,y=36500..49449,z=-65103..-41176
off x=-35842..-2427,y=66638..88997,z=-15053..-8898
on x=-53640..-18531,y=-13712..21501,z=-77231..-63885
on x=57568..90163,y=-11188..8803,z=29711..33998
on x=-67102..-31404,y=-57792..-48711,z=16204..52029
on x=4388..18256,y=30552..41291,z=57004..80636
on x=-74168..-65523,y=14745..26141,z=27851..50260
off x=-6897..15664,y=2274..15513,z=69526..94210
off x=63828..95467,y=-2880..16178,z=-12680..6879
off x=-2877..26613,y=-49708..-28450,z=-80303..-55775
on x=68257..83446,y=6162..32470,z=-7027..28698
off x=-56387..-33419,y=27800..61664,z=-54978..-39757
off x=47586..65994,y=-73268..-58241,z=-14785..8577
on x=-24606..1967,y=-19355..-7409,z=-77859..-74466
off x=-33418..-25228,y=-31668..1490,z=54853..87579
off x=-27850..-15271,y=-78941..-67184,z=-14383..9267
on x=60846..81657,y=5581..14240,z=-33297..-5213
on x=-33786..-20789,y=47804..60888,z=27562..63100
off x=72507..80732,y=15511..25873,z=-27950..-10251
off x=-14204..9970,y=9139..33097,z=59536..77693
on x=10885..42182,y=-35887..-29137,z=-77032..-53352
off x=-65613..-41382,y=-51266..-44097,z=11980..42642
off x=-45428..-23414,y=-61707..-49335,z=31263..64413
on x=-55160..-36729,y=-65006..-50506,z=-26473..-17078
off x=-72370..-62069,y=-21561..-66,z=-45714..-35951
off x=-88298..-62749,y=-13860..-929,z=32119..39606
off x=-29087..-6394,y=-25358..-11518,z=-94168..-65753
on x=-55782..-33441,y=39622..74674,z=8000..42855
on x=-29914..-5414,y=-45562..-24620,z=54345..80183
on x=26229..50139,y=-86414..-67916,z=-25238..-6197
on x=-87601..-59655,y=12933..33422,z=16957..23160
on x=-56924..-39567,y=-23701..4430,z=-71723..-42914
on x=-5451..1726,y=75330..80127,z=23070..34596
off x=-28066..-5518,y=62987..94295,z=-22274..-2285
off x=-86003..-75242,y=-35769..-7609,z=-7269..3230
off x=-24188..-5924,y=-80853..-58982,z=-47217..-26911
on x=-16543..2497,y=-41628..-33260,z=-72329..-68247
off x=-27806..-4614,y=-12792..5030,z=71014..84235
on x=-45894..-34652,y=-19621..4069,z=-73195..-66201
on x=-64695..-47979,y=-40007..-26826,z=-59252..-36278
off x=-58749..-44740,y=-35768..-7079,z=53856..77197
on x=-78605..-63264,y=7597..27425,z=-60392..-29347
off x=37772..45871,y=-67944..-42187,z=-29542..-8862
off x=-31442..-19867,y=-65165..-44647,z=-55703..-32008
on x=-71094..-49369,y=53790..67639,z=-8403..25308
on x=50297..77493,y=47392..49973,z=-24332..5227
on x=-65267..-59046,y=-48934..-43993,z=-27752..-9900
off x=27673..63036,y=-56600..-43411,z=38647..46170
on x=-60129..-40486,y=52569..78053,z=-28411..1249
on x=35074..46681,y=-75731..-52818,z=-35239..-15924
off x=-8157..3674,y=-95241..-68034,z=8443..39745
on x=-40372..-11589,y=-45956..-25718,z=62531..72724
off x=-62176..-34224,y=36206..56527,z=-61236..-28268
off x=10125..28982,y=22423..49501,z=52891..79890
on x=61143..96118,y=-26331..510,z=-24321..4979
off x=-7827..5237,y=-3848..17790,z=71527..98020
on x=-16410..-507,y=-910..15054,z=72523..83857
off x=-89645..-52495,y=-43455..-16691,z=-24430..-7112
on x=-20950..6006,y=15326..33921,z=66037..86096
on x=-53876..-49139,y=39256..57480,z=23164..37463
on x=7517..17572,y=77015..95522,z=5479..25023
off x=36886..60478,y=14805..32755,z=-77379..-46308
off x=42017..77405,y=-15788..11251,z=-66525..-37982
off x=46275..68710,y=-55755..-37862,z=-44756..-34174
off x=5245..29015,y=61451..84774,z=-10747..11869
on x=-29977..-10847,y=2857..19826,z=76646..79411
on x=34852..66149,y=-54315..-39950,z=23043..51805
on x=-69203..-42855,y=48755..63772,z=-15307..3623
off x=-90486..-56805,y=-7433..-3716,z=-37511..-25610
on x=-49424..-19219,y=57316..70290,z=31002..44840
off x=1256..34370,y=-39909..-25878,z=-73606..-54011
on x=-37556..-21765,y=-86404..-64506,z=-16265..-10738
off x=51849..72798,y=-50674..-28291,z=-841..33961
on x=35161..55446,y=-33710..-19792,z=-58344..-52620
off x=-92426..-65316,y=-28518..7282,z=516..23668
off x=41150..47274,y=19331..35774,z=-64012..-48895
off x=-15557..12011,y=24510..43286,z=-79068..-53258
off x=43304..58140,y=33990..66907,z=12551..37658
off x=-66383..-43305,y=46925..58833,z=-47255..-18377
off x=-60614..-28864,y=64072..75729,z=-22112..5534
on x=22763..45396,y=-50193..-20915,z=-67972..-55181
on x=-14988..16966,y=46393..63463,z=40030..64371
on x=67557..80545,y=20905..41054,z=6894..25288
off x=-41766..-39148,y=52019..89131,z=-13345..1820
on x=-77491..-58259,y=-34602..-7675,z=40700..60505
on x=-58432..-35902,y=-83855..-61680,z=-39446..-8525
off x=-68770..-36943,y=-59305..-33343,z=25019..47867
off x=11672..16600,y=14569..32933,z=61723..93190
on x=35811..61208,y=15975..34958,z=45880..72310
on x=-38438..-21563,y=42278..61863,z=-79132..-50724
off x=-72897..-57102,y=-32916..-19418,z=36512..55438
off x=16873..22754,y=-67507..-39173,z=-69085..-54633
on x=8127..32592,y=-40433..-37859,z=-70632..-54966
off x=-53040..-26020,y=27625..43868,z=-81230..-57009
on x=50068..80578,y=-15765..-11571,z=32956..51823
off x=-19647..12336,y=6891..36092,z=-88749..-69313
