13-53,17-82
32-32,32-42
85-85,8-86
78-80,79-91
60-71,59-70
91-92,4-90
90-90,1-90
35-49,38-50
31-51,31-52
78-80,81-81
85-86,86-94
52-95,96-97
1-39,1-40
8-68,7-24
83-89,58-78
96-98,98-99
26-27,26-74
9-43,8-44
3-8,9-89
3-77,7-26
1-88,2-2
30-53,31-52
3-47,46-86
8-78,7-9
53-92,6-52
84-97,49-97
38-67,38-68
13-13,12-95
7-13,52-87
18-18,17-79
65-65,64-64
12-92,11-91
67-67,2-68
14-89,13-92
13-44,12-14
20-42,21-24
9-47,7-11
99-99,32-97
22-37,21-36
24-98,24-99
62-76,62-77
49-50,49-98
92-98,26-79
5-10,9-95
24-92,24-91
13-13,14-30
56-97,5-97
8-33,9-34
18-76,18-75
16-80,12-17
8-99,8-95
4-97,3-96
11-12,11-86
5-90,1-89
32-71,31-84
12-96,14-91
9-9,12-71
13-93,8-92
4-77,78-93
4-6,5-89
18-52,17-51
35-65,11-64
76-77,1-76
24-24,26-43
4-8,7-48
85-85,5-86
1-86,4-85
10-44,10-45
19-91,36-79
63-95,75-98
59-86,59-87
87-91,42-90
49-98,48-96
2-28,2-27
4-91,4-90
93-98,28-91
5-91,90-90
67-77,82-85
98-98,66-94
19-36,33-46
6-54,6-53
52-82,87-90
94-99,1-94
2-2,1-96
43-46,42-45
20-23,25-30
7-93,6-92
18-56,17-19
40-95,39-96
35-90,91-99
15-17,15-19
29-31,37-99
2-91,6-92
11-28,7-7
10-50,9-11
27-89,10-26
33-60,33-61
66-68,55-67
11-11,10-90
10-20,9-11
73-96,20-98
6-85,6-86
7-82,6-8
37-54,10-57
36-87,35-86
46-86,86-93
4-68,7-69
25-26,20-26
99-99,2-89
1-10,3-17
6-92,5-5
29-87,1-30
7-74,12-74
26-36,25-97
29-83,16-84
13-97,13-98
34-72,35-72
55-62,61-61
24-95,59-95
4-38,4-37
62-73,8-77
5-35,2-2
79-79,4-78
18-51,18-50
10-12,9-9
44-83,6-44
71-81,95-98
36-98,26-97
67-74,19-74
81-89,40-80
26-81,53-94
64-64,26-63
34-67,11-75
13-56,14-56
55-55,44-56
3-51,3-97
76-80,75-77
5-66,77-89
49-70,18-49
32-53,14-33
30-30,30-31
3-7,14-47
33-33,1-33
7-9,11-95
92-92,37-92
40-90,4-90
33-79,7-46
50-64,26-49
3-94,37-94
32-68,68-77
5-17,1-6
6-86,3-6
26-46,21-76
14-74,38-75
3-86,20-85
60-70,60-69
10-32,11-33
43-43,11-43
17-96,9-95
36-96,37-95
11-94,87-95
9-94,8-94
60-61,45-60
25-58,24-58
46-81,45-92
37-77,38-80
95-95,2-96
57-71,56-70
28-93,59-94
16-88,15-90
12-38,12-22
13-88,87-99
7-38,7-37
3-70,4-69
44-77,45-76
4-69,2-98
45-79,44-78
39-91,2-33
33-78,33-77
91-91,16-90
63-94,95-97
1-97,1-97
19-38,3-19
95-95,91-96
53-77,15-78
8-53,7-53
20-41,28-42
5-7,7-90
55-86,85-87
2-92,9-80
17-79,79-89
43-77,44-78
61-66,60-60
8-76,5-8
40-83,39-83
69-79,79-80
51-51,50-92
29-99,18-99
18-75,17-18
17-39,8-59
9-35,34-79
8-52,7-53
51-95,75-94
94-94,1-94
37-55,32-56
6-84,1-6
19-19,18-40
95-97,28-95
89-99,82-92
11-47,46-47
4-98,4-99
12-16,23-94
18-50,17-49
37-72,35-57
23-77,22-24
54-65,6-54
61-74,39-73
83-94,52-90
13-99,2-14
10-98,11-99
30-98,29-99
38-90,37-90
63-66,64-68
49-93,49-95
84-88,79-88
11-35,35-83
2-59,3-59
42-64,57-64
14-62,15-88
52-54,53-71
37-66,38-67
20-96,21-92
5-82,4-6
13-52,13-52
10-69,4-21
5-69,26-98
41-57,40-42
8-94,9-93
6-27,26-61
27-65,27-66
97-98,1-97
46-85,45-86
43-48,38-43
5-49,48-48
14-59,12-58
30-97,7-96
62-70,64-69
31-79,12-78
10-18,9-17
74-76,72-76
29-69,29-70
15-93,93-95
66-68,67-73
2-89,1-2
2-95,9-96
4-89,6-45
98-98,28-99
16-77,4-77
16-86,87-87
17-17,18-83
18-82,29-81
21-99,7-98
36-85,1-85
9-70,70-90
38-95,60-94
94-94,24-95
4-63,3-63
40-72,73-88
3-4,3-99
1-27,3-93
15-26,16-27
10-89,20-34
16-18,6-39
34-48,28-34
5-83,6-6
37-49,38-50
39-86,9-38
12-74,74-75
16-80,15-81
26-67,24-85
5-7,12-19
40-68,69-69
17-79,80-95
17-63,16-18
69-72,16-75
15-24,48-89
12-12,13-96
4-4,6-89
79-84,5-39
23-25,24-61
26-97,6-96
4-97,5-97
55-91,56-91
25-80,80-81
52-76,53-75
45-61,44-61
65-81,64-82
65-74,3-64
4-73,72-72
54-54,53-57
51-51,29-50
1-14,3-36
93-95,57-92
85-86,6-85
3-98,3-15
21-21,20-54
18-72,19-73
27-49,47-53
20-77,21-78
52-76,38-76
82-87,14-87
3-79,1-4
1-97,1-1
39-40,40-91
6-11,5-10
5-98,4-6
36-36,9-37
6-69,7-7
77-93,76-95
41-94,26-93
70-81,7-70
1-72,71-72
30-90,29-98
68-76,12-76
28-42,15-19
76-96,39-77
30-32,46-90
83-98,83-92
1-98,9-98
17-93,16-92
17-89,3-8
61-67,62-67
19-63,18-20
51-53,52-98
20-21,20-58
5-86,6-87
23-85,24-84
34-54,22-53
20-67,20-68
26-88,26-26
26-94,27-94
27-29,29-84
42-73,2-42
68-72,56-71
13-85,16-84
54-87,88-95
26-29,32-35
2-21,20-45
18-18,19-48
91-98,31-88
5-59,41-60
94-96,70-94
8-85,86-89
3-97,98-99
89-90,16-92
13-44,43-74
6-87,25-99
5-5,6-53
3-85,1-84
25-94,35-87
17-95,17-64
12-85,13-85
2-4,4-75
7-25,8-24
47-96,24-96
95-96,94-94
94-94,93-93
22-77,3-90
17-77,78-83
35-42,48-75
12-12,13-97
13-19,18-77
32-83,26-83
31-78,3-32
3-17,17-95
45-61,44-61
73-81,13-80
2-99,6-93
80-88,33-74
45-86,3-44
39-75,39-93
2-96,95-96
10-64,9-65
4-76,5-5
72-96,72-73
78-85,77-79
20-94,19-98
14-87,3-15
21-35,35-53
2-87,88-93
15-90,15-87
3-99,2-99
9-95,9-96
5-89,1-90
6-73,3-74
52-76,6-51
5-52,66-69
17-19,18-36
8-43,2-9
56-72,63-73
73-91,66-92
4-89,5-89
95-99,9-93
91-98,92-99
18-78,6-7
11-71,71-94
1-99,3-97
7-90,1-8
5-87,5-88
46-48,47-97
3-92,7-91
33-33,32-73
39-95,38-98
35-82,36-81
41-90,86-95
21-45,44-44
5-5,6-49
49-67,50-66
8-76,8-77
15-17,29-73
35-95,20-34
29-64,30-64
11-45,11-46
14-87,4-13
38-69,37-37
11-76,6-9
70-98,62-97
17-99,16-18
2-82,5-81
15-93,4-94
56-57,56-57
1-6,6-88
48-93,48-49
7-75,39-74
1-3,2-90
27-31,28-31
10-10,9-63
11-64,65-79
57-57,56-69
50-50,49-88
43-43,2-44
15-59,11-59
28-44,7-28
5-39,37-42
88-95,95-95
2-63,63-63
5-91,14-98
7-89,6-98
16-36,36-56
40-80,81-83
4-99,2-98
70-70,2-71
6-45,7-46
9-97,10-96
34-79,33-34
51-55,50-55
27-72,58-79
9-65,8-64
3-5,4-99
17-43,11-16
9-29,10-28
23-91,24-90
13-80,10-14
47-85,86-86
9-25,4-8
43-92,43-92
89-90,76-89
32-88,4-31
33-52,32-51
3-97,1-99
39-91,40-51
19-92,22-92
4-89,23-92
5-6,6-66
6-99,7-78
8-93,92-93
5-95,58-97
2-96,99-99
34-39,35-35
92-92,3-93
