seeds: 564468486 226119074 3264322485 135071952 3144185610 89794463 1560365167 555667043 2419038624 7808461 1264209624 9380035 105823719 425973940 4115473551 104486997 3784956593 300187503 975280918 257129208

seed-to-soil map:
1383244180 2567207479 366571891
3099137706 184794382 526583321
3625721027 2933779370 589006054
1749816071 838554248 828858952
4214727081 3750906360 80240215
2585129273 2301737819 265469660
919423459 3831146575 463820721
2850598933 2053199046 248538773
184794382 1667413200 385785846
570580228 3522785424 221666686
2578675023 3744452110 6454250
792246914 711377703 127176545

soil-to-fertilizer map:
1263133301 1101112301 247905608
0 1881569198 406369887
3891730222 4233430396 61536900
2723511851 1349017909 413665324
2115333016 1762683233 118885965
4272202829 4116902795 22764467
1668270240 169908659 417260703
4047030256 3891730222 225172573
1511038909 990025537 111086764
3953267122 4139667262 93763134
2085530943 960223464 29802073
1622125673 2601739738 46144567
2234218981 2647884305 489292870
481920846 0 169908659
406369887 587169362 75550959
651829505 2287939085 313800653
965630158 662720321 297503143

fertilizer-to-water map:
2026149150 1702247536 416569358
1701798124 875863088 283903191
4063252939 1683589413 18658123
3356033649 595896148 7346630
1335228099 2585783629 62193392
2537326742 2766720775 117696298
229675839 2982385208 35341780
2735250450 86353870 111979203
1461856743 642976733 131238213
3045992699 1159766279 201290966
731984354 397096119 63406721
3363380279 3994841151 232428641
3846842813 3635945469 205565478
149524933 3053740954 23094746
1990135184 3017726988 36013966
3627123568 460502840 135393308
2442718508 2709874611 56846164
4052408291 1672744765 10844648
4081911062 2647977021 57463721
1985701315 2705440742 4433869
1593094956 3841510947 108703168
4139374783 1361057245 90255266
2847229653 198333073 198763046
88714127 1451312511 32454860
265017619 2118816894 466966735
172619679 774214946 57056160
2499564672 2929579580 24449682
795391075 3096108445 336808580
2524014354 3981528763 13312388
2655023040 1483767371 80227410
3595808920 3950214115 31314648
86353870 4227269792 2360257
3247283665 1563994781 108749984
121168987 2954029262 28355946
1132199655 3432917025 203028444
1416694236 2884417073 45162507
3802250831 831271106 44591982
1397421491 3076835700 19272745
3762516876 603242778 39733955

water-to-light map:
3045192883 3405560724 233949223
2014949572 1677426106 1239699
4293597773 2746321393 1369523
3495751006 3639509947 92916249
4009877494 2908092253 257514030
661965443 153544727 24099928
553752491 24333950 108212952
0 585895182 65036937
1029728406 732437088 122957582
3335349669 2747690916 160401337
1516105110 1678665805 50370082
1287786410 564845618 21049564
1766185151 1350812289 80953114
1847138265 954947145 167811307
2517751097 4153636435 141330861
1406248256 1779785802 109856854
477432380 177644655 76320111
2912031646 3216191924 133161237
86034762 2124004905 98754160
357903034 1231282943 119529346
794589862 1431765403 127455713
1684680182 650932119 81504969
1188233935 855394670 99552475
2659081958 3170612752 19372923
65036937 132546902 20997825
3279142106 3349353161 56207563
922045575 481034939 83810679
184788922 0 24333950
1005856254 1889642656 23872152
1152685988 2088456958 35547947
1308835974 1729035887 50749915
686065371 1122758452 108524491
2016189271 1960177175 128279783
3588667255 3732426196 421210239
209122872 253964766 148780162
2144469054 402744928 78290011
1566475192 1559221116 118204990
4267391524 3189985675 26206249
1359585889 1913514808 46662367
2683461350 2517751097 228570296
2678454881 3165606283 5006469

light-to-temperature map:
1030392082 1321188955 165336990
0 44804161 150706826
1568567634 1516401258 330930043
2865769925 4113445018 181522278
1195729072 195510987 44463126
2000741875 3723797683 97726768
3123087526 3637587950 86209733
438054653 1116646106 202854548
1550843096 888600245 16036237
250959147 239974113 187095506
1566879333 1319500654 1688301
3209297259 3343689313 188836349
3398133608 2601040211 257482320
1497005983 1847331301 53837113
4193409024 2004480239 101558272
1899497677 1514730521 1670737
4135626915 3532525662 57782109
1240192198 904636482 212009624
1452201822 0 44804161
178911402 427069619 72047745
2360827259 3821524451 282320546
793597174 651805337 236794908
150706826 1486525945 28204576
3655615928 2134367609 466672602
4126026894 4103844997 9600021
2126797741 2858522531 234029518
640909201 499117364 152687973
4122288530 2000741875 3738364
3047292203 3590307771 47280179
3094572382 3315174169 28515144
2098468643 2106038511 28329098
2643147805 3092552049 222622120

temperature-to-humidity map:
2682018628 3211857150 7482265
2267967594 974505223 103462688
3164705039 622508404 112412801
807519675 3897720931 7401318
1258610757 1950164875 153606404
688770014 2493658816 117081461
585035426 1429176965 103734588
1412217161 3054430041 157427109
2620753111 1936669611 13495264
2371430282 3479240080 119868447
2689500893 1809328956 2558000
2491298729 2103771279 129454382
2634248375 132197744 47770253
0 3599108527 17467705
1715711200 510341852 112166552
324602271 2233225661 260433155
3277117840 4013788866 6258575
1569644270 3252822610 21284275
