LLRRRLRLLRRLLRLRLRLRRLRRRLRRRLRLRRLLRLLRRRLRRLRRRLRLRRRLRRLRLRRRLRRRLRRLRLRRRLRRLRRLRRRLRLRLLRLLRLLRLRRRLRRLRRLRRRLRLRRRLRLRLRLRRRLRRRLRLRLRLRRRLRLLRRLLRLLRRLRRRLLRRRLLRRLRLRRLRLLRLLLLRRLLRRLRRLRLLLRRRLRRLRRRLRRLLRLRRRLRLLRRRLLLLRLRRRLRLRRLRRLRRLLRLRLRRLLLRRLLRLRRLRRRR

HFF = (HRR, BSG)
LJV = (CSH, GDM)
RNF = (QGT, JQL)
CCB = (FTQ, MPQ)
XKL = (HGX, SSQ)
SGN = (MTT, RJK)
MJH = (QBK, GBX)
CNP = (TNH, GHS)
BXM = (SFM, KGF)
RNK = (DJF, THX)
HMS = (JBS, QFS)
VPS = (TXK, SBS)
GBX = (VRK, QCK)
CJP = (XVL, DKG)
RGD = (NQB, NQB)
JMT = (LMD, TCD)
JDB = (LKN, VNH)
XNV = (FLR, SFV)
SDC = (SFV, FLR)
HRR = (HCK, HDM)
CXJ = (VMC, VQB)
HLQ = (CGJ, KBR)
DCQ = (JQX, FMN)
GLN = (JFG, GFD)
MKX = (JTC, RGX)
NBL = (JQM, HKC)
QKM = (QVX, VVN)
BFH = (XHJ, PFM)
SJL = (QNF, PNP)
FXF = (THN, DTL)
BXD = (GLX, SMP)
CNH = (CGP, GTN)
TNC = (BKK, BKK)
JBS = (DCL, DCL)
VQB = (KJL, BJM)
GTJ = (LMS, QBM)
KSM = (NHH, KFX)
VNA = (HRT, NPR)
SPD = (KLM, KLM)
JQM = (MDN, NPJ)
XBD = (JDQ, VQL)
HKC = (NPJ, MDN)
LGB = (VPN, NMP)
RHJ = (LSH, TSM)
RQH = (PTS, HQS)
XVL = (JVP, KRM)
RCR = (XJX, NLM)
RCP = (NRD, DMQ)
MSQ = (SKC, DMS)
VRK = (CQP, FBG)
TPZ = (SHK, QKS)
XVG = (QJX, GTJ)
XVH = (VMQ, LNG)
MHJ = (NSP, QPL)
CSH = (LFJ, VSJ)
SVJ = (VCV, QDC)
DVD = (NQG, BGV)
GJM = (RQC, SHH)
VLK = (RGD, QSQ)
LJT = (HTJ, MVQ)
HQL = (BNP, RPM)
BKT = (GTS, JCR)
SKC = (VKQ, FQR)
KDR = (MTT, RJK)
HKG = (RBH, DCN)
QNB = (TDP, QJN)
CCK = (GRP, NFQ)
FBQ = (CKD, LGG)
KMG = (QRQ, GLT)
LLX = (KGK, BST)
FLF = (LLX, RBP)
HLD = (JRB, PCT)
DMS = (FQR, VKQ)
RBJ = (GJS, JVH)
LRJ = (RPC, RJM)
XHJ = (MBM, QGM)
PTF = (CRS, LTP)
PJN = (GTJ, QJX)
VDQ = (LFC, RVC)
QSM = (KRV, XTX)
FJX = (BHG, HXR)
FNK = (SGK, GND)
HBS = (RPC, RJM)
HGR = (MHM, KLB)
MDX = (VCD, KNP)
HTS = (RTH, DJD)
MNC = (PJR, RHP)
CGK = (HPS, XVH)
GND = (HLD, TMT)
LGN = (BPX, LCP)
RVC = (BHH, XDP)
GRT = (XDF, FMP)
JDQ = (JHD, XJP)
LTV = (FPL, PBT)
TLG = (GHG, DPV)
DBR = (RQH, CRC)
RJK = (JQS, RCR)
FTQ = (NXK, HRH)
PJL = (RJB, VBD)
RTG = (QFN, GMQ)
LQN = (TGN, JPD)
QBP = (SKB, VJK)
GGM = (GTQ, PXK)
XJP = (NSD, QHM)
NCC = (JSQ, KPM)
RXR = (PJN, XVG)
GDM = (LFJ, VSJ)
LMD = (RKB, PPP)
MSB = (JSV, HCH)
FHS = (PHP, FFQ)
NRC = (JDB, LGS)
HBC = (HQL, PJP)
KFX = (VXH, THQ)
XMV = (MHC, RNF)
TGN = (XJF, BNX)
BPB = (LJL, LQC)
GLK = (MQS, SJL)
FLR = (MKC, NBX)
KTG = (SLB, KTT)
KLB = (RXR, TLS)
XBS = (DMQ, NRD)
XKX = (LKD, RFS)
QTL = (QKS, SHK)
MBM = (XBD, MRR)
VDC = (BSP, QLX)
HCM = (FMN, JQX)
DPV = (KMG, GDS)
THC = (JRF, MKX)
BNP = (BFH, LPS)
QKV = (DPH, PFX)
CRS = (HTH, QNB)
TBM = (PJR, RHP)
