?#.???#???????##?.? 2,1,7,3,1
?.##?###?#?##? 1,6,1,2
??.???.?.?.??.???. 2,2,1,1,2,1
?????#???#??#??..?#? 15,2
#?????????#.?# 1,2,5,1
??..?.???# 1,4
?##???.???? 3,2,2
..??.????????.?? 1,3
.?????????.#?? 1,6,2
?#?#??????##??#..# 1,2,7,1
??.?????###?? 3,4
.???????#.? 4,3,1
??????#.?#???? 2,2,4
???.???#?..?????. 2,1,1,5
???#???#???#?#?????. 2,9,2
????.#.?????#?# 1,6
???????.#?? 1,1,2
#????#??.???. 2,1,1,1
??#?????.???? 2,1,1,1
.#?.?.#????#?.# 1,1,4,1
##?????##??? 3,3,2
??.?????#? 1,1,3
??????.??????##.??#? 2,2,1,6,3
?#???.?#?? 1,1,4
#?#???.???? 4,1,2
.#.?.??#?? 1,1,3
.?#???#??#??#?#?. 1,10
?##...?##???.? 2,5
.#?????????????? 8,1,1
???...???# 1,1,1
??#???.?????????#?? 3,4,4
????.?.???.#.?? 1,1,3,1,1
?#??.?#??? 2,1,3
?????##????#???? 11,1
??????.???? 4,1
?????#?..?#?.?? 2,2,3,1
??????.#..?#????# 2,1,4,1
??.???#..#? 1,2,2
#?#??.#????#? 1,1,1,2
?.#?..?#?? 2,4
?.?????##??.#?????## 8,8
???.???.??. 1,2
??#??????# 7,1
????#?####?#?# 9,1,1
???#??#.????. 1,4,2
??#?#?????.##??.?.?? 5,1,1,4,1,1
.#??.??????#?????#? 1,1,5,3
???#???.????#???. 4,1,4
.?.??#??????#??. 3,5
???????..?? 1,2,2
????#.???????? 2,2
?.????????##?? 3,2
?.?.????????#??????# 1,2,4,4,1
???#??.????.???#??? 4,1,1,3
????????????.. 5,1
??.#??????## 1,1,1,2
..?.?#?????.?.. 3,1
??#??.?#??.??#????? 4,3,3,2
???#?#???##????##?? 5,7,2,1
.????#?????#.. 5,2
..?#..##???.? 2,3
???????.?.? 4,1
#????????#?????. 1,3,1,6
?#?#??.??.?#????. 1,3,1,6
?#???.??#??. 4,3
?#.#.????#?#?????#? 2,1,8,4
??.#???????.? 2,2,1
..???????.? 2,3
?#.?????????? 1,7
?.??#??#???????????? 1,7,3,1,1
???????.#????? 3,3,5
?..????.???#. 1,1,2,1
?.?????.?#.??..? 3,1
.#?..?##???? 1,4
?????...??????? 3,2
???.?.?????? 2,1,1,3
#???#.#?#??? 5,5
????#???.??? 5,1,2
????#????#?.??##?#? 1,4,2,4,2
??#???????????. 2,1,1,1
#?.##??###????.????? 1,7,2,1,1,1
?#??##??.?#?#?##?? 5,7
?#???.?#?? 4,1
..??.??#???. 1,4,1
??.????.?? 1,2,2
???.??.??#???? 1,1,5
?..??#?##???#???# 1,6,5
???#?????????#?? 4,1,5
?#???#?#??.? 1,1,1,1
???.???.#?.???. 1,3,2,2
????###?..??.?#???. 7,1,4
.??#?.????? 4,1,3
.#.??????? 1,3
#????##???.? 1,5
??.???#?????#???? 2,3,5
??#?##?????# 7,2
???#????#.. 4,2
.????.????#?#???? 3,1,3,5
??.????.???.??#??#?? 2,1,2,6
?????#??#?#????? 1,5,3,1
??????.#?? 3,2
??#????.?#?. 4,3
???#???????????#?#. 2,1,3,1,1,3
???#.?###???##??# 1,1,12
?#????#?##.???.?.?#? 1,6,2,2
.?#??.?#???#???????. 4,7,1
?###???#????##??.? 5,2,2,1
??#?#????#?#?..?? 1,1,4,4,1
???.#?.?????? 2,2
??#???#??????? 7,1,3
?.?##????#?. 3,4
??.??#???????. 1,1,4
?.?#???????...????? 7,2
????.???#??.?. 1,4
.#?.?#?#??????? 1,6
.?????###??????????. 8,3
#?.#?#??#?????? 2,3,2,4
#?#?#????.??????? 6,7
??.?#??.#?#? 1,2,1,4
??.?#???##?###?# 1,2,6,1
?.??...??? 2,2
#??##?#??.?#??? 1,3,1,1,2
????##?????.??.?.. 4,1
.?###????..?.?# 8,2
.????#??.#.#?? 5,1,3
??#??.????##..? 4,6
?#?..???#?????????.? 2,1,4,5
..??..??#.?? 1,2
?.#?.?.???#?##?????? 1,2,1,1,5,1
??.?##.?..???? 1,2,1,2
??.??????#?.??? 1,1,4,2
???#...??#?#.# 1,5,1
????.???##?#?.# 1,8,1
.???#?????.? 3,1
.##???#.?#??#??. 3,1,2,3
??#??????#???.? 2,1,1,3,1
???#?.???#???#??? 2,3,2,2
???????#???????????? 2,2,10,1
.???#??.?#??#?#. 1,1,1,6
????##??#?.. 6,2
????###?##?#?? 4,4,1
???#????#???? 3,7
?.?###?.#???#??? 3,1,3,1
.#?.??#?.??#??? 1,1,2,2,2
????#??##?. 1,5
???????#?##.?.#.? 2,6,1,1
?#?..???.?#?..??? 2,1,1,3,1
??#???#.??.#?#???# 1,1,2,2,4,1
.#.?#.?#???#?. 1,1,1,3
??.##??.??#.?.? 1,4,3,1
.?#??.????# 4,1
???##?#????##? 2,10
??#???????#? 3,1,2
##.??#?#??##? 2,9
?#?#?#?????.???.?.? 10,1
?..#????#????#?. 1,1,1,6
...?????#???????# 9,1,2
.???.???.?? 3,1,1
??#.?.????#?#??#??? 1,1,1,10
??.??.#??#?#?.??#??. 2,7,2
